type,query,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,text
RT,#texas,psychopuppy,301,817,13,4834,themattwalton,6320,6019,112,31210,"RT @themattwalton: Just so we’re clear, this week alone, #FederalRegulations saved the life of every passenger on board #United328 &amp; #Tiger…"
Tweet,#texas,JV_Sports_Talk,868,2273,58,40131,JV_Sports_Talk,6320,6019,112,31210,#Kansas needed a quality win like this. #Texas hangs on in OT with this turnover! #CBK  https://t.co/VupdkUMJ1i
RT,#texas,kunalpatel104,497,1034,5,18739,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
Tweet,#texas,EcSectores,144,49,1,575,EcSectores,47833,1148,1486,33910,"Estas 5 tendencias van a ser claves para el éxito de tu negocio en 2021.

#Noticias #Emprendedores #Ecuador #EEUU… https://t.co/Z0hCdprgPn"
Tweet,#texas,diario_standard,131,8,6,925,diario_standard,47833,1148,1486,33910,"Así Fue el Choque entre un tren y un camión, este martes en la ciudad de #Cameron, que ocasionó un fuerte… https://t.co/M7x5Ufq9lL"
Tweet,#texas,DebbiDelicious,1673,2894,223,227796,DebbiDelicious,47833,1148,1486,33910,#TEXAS #WHITEMEN https://t.co/d21GeQtVMT
RT,#texas,Martian_ofMars,341,600,3,3245,Martian_ofMars,341,600,3,3245,RT @Martian_ofMars: @CashApp $Cruz84  #stacksats let’s go!! 🙏🏼 The ☀️ is back here in #Texas
RT,#texas,Alt_Rogue_,1100,2085,5,27846,CEDRdigital,8333,970,247,30988,RT @CEDRdigital: Temps may be better but some in #Texas are still struggling to recover.  Volunteers are needed throughout #TX to help fami…
RT,#texas,Garronisreal,139,1413,13,36772,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
RT,#texas,adamum437,56,654,3,5021,CGTNOfficial,13661729,69,7990,159795,RT @CGTNOfficial: A total of 3.4 million people in 204 counties in the U.S. state of #Texas are still facing disruptions in water service d…
RT,#texas,AlicRodmen,384,4997,2,29767,CGTNOfficial,13661729,69,7990,159795,RT @CGTNOfficial: A total of 3.4 million people in 204 counties in the U.S. state of #Texas are still facing disruptions in water service d…
Tweet,#texas,southboundcine,2111,2040,39,15761,southboundcine,13661729,69,7990,159795,"For all the punks, psychobilly freaks, and horror heads, here's The Cramps and The Misfits... with a little Jason G… https://t.co/RHFnWj8fbJ"
RT,#texas,MicksMan9,1622,1584,141,109155,news_ntd,68646,33,460,15045,"RT @news_ntd: People in #Texas are now trying to fix their damaged homes and gather food and clean water.

https://t.co/rPxedZfPeq"
Tweet,#texas,Kureselsesi,42,78,0,309,Kureselsesi,68646,33,460,15045,ABD’nin Texas eyaletinde felaketler peş peşe geliyor. petrol taşıyan tren ile TIR'ın çarpışması sonucu yangın çıktı… https://t.co/XohbHzvR60
Tweet,#texas,ConsultSharp,1120,5001,16,6457,ConsultSharp,68646,33,460,15045,"Some thoughts on #Texas v #Kansas....

*Texas more electric on offense when attacking rim

*Kansas has gotten bette… https://t.co/qWpeniJPem"
Tweet,#texas,sirwiki1,0,4,1,67900,sirwiki1,68646,33,460,15045,"We are at; SPEEK INTO THE BARREL,  TEXAS RANGERS #TEXAS https://t.co/Kdbbq4kwjL"
Tweet,#texas,VibrantCE,1325,140,25,632,VibrantCE,68646,33,460,15045,Here is a look at the #Texas Wind (avg over all state) for each month for last 175 years. It's the average capacity… https://t.co/coMScmip1R
RT,#texas,EveylnM67,8040,8555,10,127470,DFire45,19546,7844,49,34798,"RT @DFire45: Friendly reminder to the good people of #Texas.

While your governor was blaming windmills, and your stupidest senator was in…"
RT,#texas,rqskye,1615,1916,236,292036,CEDRdigital,8333,970,247,30988,"RT @CEDRdigital: Do you know of anyone who is struggling to recover after the #IceStorm2021?
We can all help survivors of traumatic experie…"
Tweet,#texas,DebbiDelicious,1673,2894,223,227796,DebbiDelicious,8333,970,247,30988,"#TEXAS #REP #GOP #CORPORATEWHORES  #THIEVES #GREED #WHITEMAN 

#RICH  VS  #POOR https://t.co/KUhkIrZCeU"
RT,#texas,JessAgu80772394,290,4972,0,31446,loba_indomable,24918,316,117,74705,"RT @loba_indomable: #Matamoros #Tamaulipas
Angel Arvizu, traficante de indocumentados, detenido en Mayo del 2019 por agentes de Inmigración…"
RT,#texas,BodhisattvaKat,9896,10876,46,186356,gnugut13,764,876,0,10289,RT @gnugut13: Every once in a while this picture needs to be posted. The girl in the picture opened her coat after @SenTedCruz  put his arm…
RT,#texas,mpaul1013,27,210,0,1973,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
RT,#texas,Ricardo83462979,41,427,0,2902,GoyaFoods,58619,2215,204,9331,"RT @GoyaFoods: We are with you #Texas ❤️ We donated 50,000 pounds of food to Gallery Furniture, a local store in #Houston that opened up to…"
Tweet,#texas,waynesadin,16555,18154,822,21286,waynesadin,58619,2215,204,9331,"@abc13houston Plumbers from New Jersey know how to winterize plumbing fixtures.

As a NYC native who spent time in… https://t.co/XzaodTlBmP"
Tweet,#texas,ncaa_hoops101,26,59,0,353,ncaa_hoops101,58619,2215,204,9331,"#14 #Texas beats #17 #Kansas 75-72 in OT to snap the Jayhawks’ five-game winning streak.

It’s the first time in pr… https://t.co/xtCtucixjH"
Tweet,#texas,4JayMichael,854,1151,56,11501,4JayMichael,58619,2215,204,9331,"Hubsan Zino drone footage at Waco Lake. Made with fastcut.
#wacolake #hubsanzino4k #hubsandrone #hubsanzino #hubsan… https://t.co/hPw3N6xNbG"
RT,#texas,SmtrRaghu,12,316,0,897,CGTNOfficial,13661729,69,7990,159795,RT @CGTNOfficial: A total of 3.4 million people in 204 counties in the U.S. state of #Texas are still facing disruptions in water service d…
Tweet,#texas,yinzerchemist,1760,4528,2,43775,yinzerchemist,13661729,69,7990,159795,@pollspollsmore1 @JayAlle78034329 I used to eat Corned Beef and Cabbage when I lived in New England. But most of… https://t.co/goQm1Rp84P
Tweet,#texas,jtubbs_kugi,895,245,5,102795,jtubbs_kugi,13661729,69,7990,159795,"Another New beat 

https://t.co/2EjJCVAXWz

#KugiRecordingStudio #Dallas #Producer #beats #engineer #artist… https://t.co/mgfTpMOzFZ"
RT,#texas,DKubelwa,57,240,0,260,IEEEorg,295220,2545,2626,20403,RT @IEEEorg: .@ieeesmartgrid hosted a panel of electric utility experts including #IEEE Impact Creator Wei-jen Lee to discuss the #Texas el…
RT,#texas,brendanstarr,800,1220,32,7638,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
Tweet,#texas,PGirl1776,140,334,0,3871,PGirl1776,47833,1148,1486,33910,"💥What happened in #TEXAS was NOT Ted Cruz's fault, &amp; there was probably nothing he could've done because IT WAS ALL… https://t.co/xuPTo5HZii"
Tweet,#texas,bikevato,616,483,20,4477,bikevato,47833,1148,1486,33910,The @_SCHSSoftball senior banners. #juandeleoncreative #softball #highschool #texas #humble #sportsphotographer… https://t.co/q1VHbqQzKj
RT,#texas,UT_Mangler,2423,374,23,50772,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
RT,#texas,ZachT1272,182,1024,0,2295,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
Tweet,#texas,jtubbs_kugi,895,245,5,102795,jtubbs_kugi,47833,1148,1486,33910,"New beat 

https://t.co/EA0w7LItI3

#KugiRecordingStudio #Dallas #Producer #beats #engineer #artist  #rapper… https://t.co/kHag73hkWu"
Tweet,#texas,breaknlinks,102,215,1,8256,breaknlinks,47833,1148,1486,33910,"One of the residents of Chamber County, near Houston reportedly received an electric bill that amounted to $9,340 f… https://t.co/xTzLuo6Mce"
Tweet,#texas,news_ntd,68646,33,460,15045,news_ntd,47833,1148,1486,33910,"People in #Texas are now trying to fix their damaged homes and gather food and clean water.

https://t.co/rPxedZfPeq"
Tweet,#texas,TPE_connect,993,20,8,66890,TPE_connect,47833,1148,1486,33910,Texas: Family of a 11-year-old who 'froze to death' file a $100 million lawsuit against power companies #Texas… https://t.co/cquKmvjB4U
Tweet,#texas,greenmamba23,16,153,0,246,greenmamba23,47833,1148,1486,33910,2020-2021 Big 12 Basketball Conference is probably the strongest conference from top to bottom that I have witnesse… https://t.co/jrVHIhRYQS
RT,#texas,davemartinez98,902,4983,12,70475,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
RT,#texas,AmandaMAtwell,4892,1004,21,23229,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
RT,#texas,HojatLeila,24,230,0,58,IDAUSA,23002,1640,350,10445,"RT @IDAUSA: Our hearts go out to the hundreds of #animals &amp; staff @primate_refuge in #Texas, which lost power &amp; water on Monday. They’re st…"
RT,#texas,Peachtreespeaks,6277,4686,474,115306,DianaMSharpton,23750,21888,3834,792620,RT @DianaMSharpton: Texas Mallards Huddle #TexasWinterStorm2021 #wildlife #snow #wallartforsale #fineartforsale #Richardson #Texas #DianaMa…
